Run,Center_ID,Group,BioProject,Method,library_strategy,library_source,instrument,LibraryLayout,total_reads,percent_aligned,coverage,breadth,sample_accession,experiment_desc,collection_date,isolation_source,release_date,Sufficient_cov
SRR11491746,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,734504,99.51,4244.142795037287,0.9888639935792396,SRS6436387,PCR Tiled Amplification of SARS-CoV-2,2020-03-20,human,1587408072.015677,True
SRR11491747,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,663914,99.44,4279.933652141925,0.9975253319064976,SRS6436386,PCR Tiled Amplification of SARS-CoV-2,2020-03-19,human,1587408074.2116575,True
SRR11491748,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,267754,99.64,2069.036150219041,0.9965889710062537,SRS6436385,PCR Tiled Amplification of SARS-CoV-2,2020-03-24,human,1587408077.33163,True
SRR11491749,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,230921,99.67,1780.5069725445608,0.9942480687556432,SRS6436384,PCR Tiled Amplification of SARS-CoV-2,2020-03-23,human,1587408078.7636173,True
SRR11491750,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,300219,99.81,2292.445574022673,0.9890646423435776,SRS6436383,PCR Tiled Amplification of SARS-CoV-2,2020-03-14,human,1587408077.6116276,True
SRR11491751,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,355484,99.21,1829.166571915861,0.9978931879744508,SRS6436382,PCR Tiled Amplification of SARS-CoV-2,2020-03-30,human,1587408079.3756118,True
SRR11491752,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,494689,99.72,3348.637895863292,0.9896331471758686,SRS6436381,PCR Tiled Amplification of SARS-CoV-2,2020-03-27,human,1587408086.027553,True
SRR11491753,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,591370,99.77,3944.6601678761326,0.9889643179614086,SRS6436380,PCR Tiled Amplification of SARS-CoV-2,2020-03-26,human,1587408092.2274983,True
SRR11491754,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,478491,99.61,3342.595057352105,0.9982276025816808,SRS6436379,PCR Tiled Amplification of SARS-CoV-2,2020-03-26,human,1586806652.3165421,True
SRR11491755,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,362748,99.31,2601.8846269605056,0.9983613684245728,SRS6436378,PCR Tiled Amplification of SARS-CoV-2,2020-03-27,human,1587408094.4914782,True
SRR11491756,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,599537,99.6,3819.3545798080463,0.9900678861652678,SRS6436377,PCR Tiled Amplification of SARS-CoV-2,2020-03-27,human,1587408089.1435254,True
SRR11491757,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,970911,99.58,5086.0553790589565,0.9898672374009296,SRS6436376,PCR Tiled Amplification of SARS-CoV-2,2020-03-26,human,1587408103.3953993,True
SRR11491758,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,528429,99.7,3104.749556900645,0.9802360967127044,SRS6436374,PCR Tiled Amplification of SARS-CoV-2,2020-03-25,human,1587408107.747361,True
SRR11491759,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,535646,99.58,3503.9956860515667,0.985285757281878,SRS6436375,PCR Tiled Amplification of SARS-CoV-2,2020-03-26,human,1587408112.1993215,True
SRR11491760,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,351659,99.52,2797.480520349129,0.9954854028023944,SRS6436373,PCR Tiled Amplification of SARS-CoV-2,2020-03-14,human,1587408103.2674005,True
SRR11491761,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,558695,86.35,2739.041801825904,0.5048322910744741,SRS6436372,PCR Tiled Amplification of SARS-CoV-2,2020-03-27,human,1587408118.3472672,False
SRR11491762,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,653898,99.76,4261.897401598502,0.9885295789720095,SRS6436371,PCR Tiled Amplification of SARS-CoV-2,2020-03-25,human,1587408121.163242,True
SRR11491763,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,529309,99.18,2830.979767916262,0.9954854028023944,SRS6436370,PCR Tiled Amplification of SARS-CoV-2,2020-03-26,human,1587408124.455213,True
SRR11491764,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,316908,90.06,1342.3985218874361,0.6522088084807545,SRS6436369,PCR Tiled Amplification of SARS-CoV-2,2020-03-25,human,1587408121.1392424,False
SRR11491765,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,547227,99.13,2916.8134300906263,0.9990970805604787,SRS6436368,PCR Tiled Amplification of SARS-CoV-2,2020-03-26,human,1587408127.7631838,True
SRR11491766,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,551717,99.75,2836.5296792963923,0.9896331471758686,SRS6436367,PCR Tiled Amplification of SARS-CoV-2,2020-03-25,human,1587408137.5070975,True
SRR11491767,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,714621,94.02,3210.023743437113,0.6827743035815804,SRS6436366,PCR Tiled Amplification of SARS-CoV-2,2020-03-24,human,1587408134.287126,False
SRR11491768,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,431342,97.69,2078.6247199277664,0.5901414573788583,SRS6436365,PCR Tiled Amplification of SARS-CoV-2,2020-03-24,human,1587408131.9631467,False
SRR11491769,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,588931,98.95,3309.574758385447,0.9986623415710798,SRS6436364,PCR Tiled Amplification of SARS-CoV-2,2020-03-24,human,1587408143.543044,True
SRR11491770,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,1438700,99.3,7729.673243487276,0.9971240343778216,SRS6436363,PCR Tiled Amplification of SARS-CoV-2,2020-03-19,human,1586806669.0164063,True
SRR11491771,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,957083,99.38,6612.450924656389,0.8372738521218607,SRS6436362,PCR Tiled Amplification of SARS-CoV-2,2020-03-12,human,1587408145.1070304,False
SRR11491772,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,630624,99.55,3746.3015750928002,0.9874928936895964,SRS6436361,PCR Tiled Amplification of SARS-CoV-2,2020-03-13,human,1587408139.8910766,True
SRR11494509,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,504478,99.74,3284.9842156305385,0.9893990569508077,SRS6439270,Severe acute respiratory syndrome coronavirus 2,2020-03-18,missing,1586805591.5371869,True
SRR11494510,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,392315,99.83,3054.181921546333,0.9976590977493895,SRS6439269,Severe acute respiratory syndrome coronavirus 2,2020-03-18,missing,1586805599.205124,True
SRR11494511,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,319755,99.8,2515.2494064140724,0.9972243587599906,SRS6439268,Severe acute respiratory syndrome coronavirus 2,2020-03-18,missing,1586805604.9850764,True
SRR11494512,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,4151,98.86,26.83446476942113,0.9379660903588268,SRS6439267,Severe acute respiratory syndrome coronavirus 2,2020-03-18,missing,1586805605.7130706,False
SRR11494513,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,438674,99.86,3441.770892552587,0.9975587733672208,SRS6439266,Severe acute respiratory syndrome coronavirus 2,2020-03-18,missing,1586805615.5889895,True
SRR11494514,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,285453,99.86,2251.8411865030266,0.9971909172992676,SRS6439265,Severe acute respiratory syndrome coronavirus 2,2020-03-18,missing,1586805613.0290105,True
SRR11494515,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,402247,99.81,3135.128682740861,0.9978597465137278,SRS6439264,Severe acute respiratory syndrome coronavirus 2,2020-03-18,missing,1586805619.7089558,True
SRR11494516,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,384832,99.85,2990.61886767214,0.9974918904457748,SRS6439263,Severe acute respiratory syndrome coronavirus 2,2020-03-17,missing,1586805624.5049164,True
SRR11494517,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,420254,99.83,3284.122429187707,0.9976256562886668,SRS6439262,Severe acute respiratory syndrome coronavirus 2,2020-03-17,missing,1586805627.0288959,True
SRR11494518,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,402240,99.82,3136.7119352573322,0.9972912416814368,SRS6439261,Severe acute respiratory syndrome coronavirus 2,2020-03-17,missing,1586805629.072879,True
SRR11494519,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,622900,99.79,4599.744105942547,0.9900678861652678,SRS6439260,Severe acute respiratory syndrome coronavirus 2,2020-03-16,missing,1586805643.2847626,True
SRR11494520,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,406074,99.84,3158.5518844263115,0.9971909172992676,SRS6439259,Severe acute respiratory syndrome coronavirus 2,2020-03-17,missing,1586805638.4208024,True
SRR11494521,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,405135,99.8,3089.608433936395,0.9973581246028826,SRS6439258,Severe acute respiratory syndrome coronavirus 2,2020-03-17,missing,1586805634.216837,True
SRR11494522,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,415394,99.81,3260.617964752701,0.9975253319064976,SRS6439256,Severe acute respiratory syndrome coronavirus 2,2020-03-17,missing,1586805639.2007961,True
SRR11494523,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,67295,99.81,509.1353710330066,0.9969902685349296,SRS6439257,Severe acute respiratory syndrome coronavirus 2,2020-03-17,missing,1586805642.248771,True
SRR11494524,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,429753,99.83,3390.340668160385,0.9977928635922816,SRS6439255,Severe acute respiratory syndrome coronavirus 2,2020-03-17,missing,1586805649.232714,True
SRR11494525,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,580392,99.79,4072.850215697422,0.9499381332976624,SRS6439254,Severe acute respiratory syndrome coronavirus 2,2020-02-24,missing,1586805657.4286468,True
SRR11494526,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,181523,99.85,1411.4033374577805,0.9970571514563756,SRS6439253,Severe acute respiratory syndrome coronavirus 2,2020-03-17,missing,1586805649.320713,True
SRR11494527,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,365173,99.82,2823.017389559576,0.9977259806708356,SRS6439252,Severe acute respiratory syndrome coronavirus 2,2020-03-17,missing,1586805654.9966667,True
SRR11494528,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,398652,99.83,3119.777948700799,0.9981272781995116,SRS6439251,Severe acute respiratory syndrome coronavirus 2,2020-03-17,missing,1586805656.9886503,True
SRR11494529,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,426633,99.81,3329.325519178678,0.9976925392101128,SRS6439250,Severe acute respiratory syndrome coronavirus 2,2020-03-17,missing,1586805665.220583,True
SRR11494530,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,620630,99.77,4657.836370932682,0.9980269538173429,SRS6439248,Severe acute respiratory syndrome coronavirus 2,2020-03-16,missing,1586805671.5965307,True
SRR11494531,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,494732,99.79,3819.4137043106043,0.9972578002207136,SRS6439249,Severe acute respiratory syndrome coronavirus 2,2020-03-17,missing,1586805669.7805455,True
SRR11494532,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,426097,99.87,3346.109487342407,0.9975587733672208,SRS6439247,Severe acute respiratory syndrome coronavirus 2,2020-03-17,missing,1586805675.5644982,True
SRR11494533,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,538120,99.81,4133.581580443434,0.9972912416814368,SRS6439246,Severe acute respiratory syndrome coronavirus 2,2020-03-16,missing,1586805679.6844645,True
SRR11494534,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,350721,99.83,2735.317827642712,0.9973581246028826,SRS6439245,Severe acute respiratory syndrome coronavirus 2,2020-03-16,missing,1586805680.6404567,True
SRR11494535,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,489707,99.8,3787.3860147811256,0.9973915660636056,SRS6439244,Severe acute respiratory syndrome coronavirus 2,2020-03-16,missing,1586805682.9964373,True
SRR11494536,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,498432,99.81,3899.350700598602,0.9976925392101128,SRS6439243,Severe acute respiratory syndrome coronavirus 2,2020-03-16,missing,1586805686.1644113,True
SRR11494537,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,514955,99.76,3701.1761696150893,0.9820419355917468,SRS6439242,Severe acute respiratory syndrome coronavirus 2,2020-02-02,missing,1586805688.5643916,True
SRR11494538,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,414995,99.79,3258.238537939337,0.9976590977493895,SRS6439241,Severe acute respiratory syndrome coronavirus 2,2020-03-15,missing,1586805693.3643525,True
SRR11494539,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,582184,99.82,4489.964652376017,0.9978931879744508,SRS6439240,Severe acute respiratory syndrome coronavirus 2,2020-02-23,missing,1586805698.196313,True
SRR11494540,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina iSeq 100,PAIRED,281650,99.83,2185.3339129853193,0.9977594221315588,SRS6439239,Severe acute respiratory syndrome coronavirus 2,2020-03-22,missing,1586805695.4203355,True
SRR11494541,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,238718,99.82,1841.5738554660068,0.9970905929170988,SRS6439238,Severe acute respiratory syndrome coronavirus 2,2020-02-24,missing,1586805693.8283486,True
SRR11494542,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina iSeq 100,PAIRED,320686,99.83,2431.620807276862,0.9977594221315588,SRS6439237,Severe acute respiratory syndrome coronavirus 2,2020-03-22,missing,1586805699.7723,True
SRR11494543,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina iSeq 100,PAIRED,338678,99.8,2352.220780523693,0.9978263050530048,SRS6439236,Severe acute respiratory syndrome coronavirus 2,2020-03-22,missing,1586805699.5723016,True
SRR11494544,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina iSeq 100,PAIRED,311991,99.83,2389.521853994583,0.9977594221315588,SRS6439235,Severe acute respiratory syndrome coronavirus 2,2020-03-22,missing,1586805703.4922695,True
SRR11494545,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,418131,99.77,2943.6126475604456,0.9983279269638498,SRS6439234,Severe acute respiratory syndrome coronavirus 2,2020-03-22,missing,1586805706.8842418,True
SRR11494546,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,418398,99.79,2917.025214861385,0.9977928635922816,SRS6439233,Severe acute respiratory syndrome coronavirus 2,2020-03-21,missing,1586805712.3241973,True
SRR11494547,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,460151,99.76,3289.505467678828,0.9979600708958968,SRS6439232,Severe acute respiratory syndrome coronavirus 2,2020-03-21,missing,1586805713.3521888,True
SRR11494548,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,512124,99.77,3807.2997358124603,0.9968899441527606,SRS6439231,Severe acute respiratory syndrome coronavirus 2,2020-01-31,missing,1586805722.8361113,True
SRR11494549,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,448855,99.79,3290.7653078286457,0.9978597465137278,SRS6439230,Severe acute respiratory syndrome coronavirus 2,2020-03-21,missing,1586805719.0041425,True
SRR11494550,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,555816,99.8,4134.054476139518,0.9979266294351736,SRS6439229,Severe acute respiratory syndrome coronavirus 2,2020-03-16,missing,1586805729.07206,True
SRR11494551,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,579853,99.78,4231.636725412166,0.9979935123566196,SRS6439227,Severe acute respiratory syndrome coronavirus 2,2020-03-16,missing,1586805724.9960935,True
SRR11494552,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,437864,99.75,3083.5132595391765,0.9976590977493895,SRS6439228,Severe acute respiratory syndrome coronavirus 2,2020-03-20,missing,1586805731.5080402,True
SRR11494553,Doherty_Melbourne,The Peter Doherty Institute for Infection and Immunity,PRJNA613958,PCR_ARCTIC,AMPLICON,VIRAL RNA,NextSeq 550,PAIRED,627387,99.79,4582.740460823329,0.9979935123566196,SRS6439226,Severe acute respiratory syndrome coronavirus 2,2020-03-16,missing,1586805745.1959283,True
