genome,true_length,SNPs,BiAllelic_SNPs,MultiAllelic_SNPs,consensus_SNPs,population_SNPs,breadth,coverage,std_cov,mean_clonality,rarefied_mean_microdiversity,conANI,popANI,unmaskedBreadth,expected_breadth,Run
MT039887.1,29903,13,4,3,9,6,0.9901013276259908,2128.9560244791487,1186.3798897165614,0.9987755639944828,0.0011125469429968948,0.9996933142506644,0.9997955428337764,0.9813731063772866,1.0,SRR11397716
MT039887.1,29903,12,8,0,6,4,0.9977594221315588,2342.9848510182924,1177.7067054419745,0.9987277269920306,0.0011402770041667456,0.9997983464408148,0.9998655642938764,0.9950172223522724,1.0,SRR11397717
MT039887.1,29903,44,39,0,5,5,0.9975253319064976,2862.6616727418655,2177.769978362982,0.9984044507695088,0.0014720925533678875,0.9998309325759112,0.9998309325759112,0.9889977594221316,1.0,SRR11397718
MT039887.1,29903,108,102,1,8,5,0.9809718088486103,3531.3989900678857,3238.4122925789416,0.9980658484594596,0.0017813074395530704,0.9997249630419088,0.999828101901193,0.9727117680500283,1.0,SRR11397719
MT039887.1,29903,22,17,0,9,8,0.9960539076346856,2031.5570344112632,1065.318007118658,0.9986088965142242,0.0010605259458450476,0.9996959664887508,0.9997297479900008,0.9899341203223756,1.0,SRR11397720
MT039887.1,29903,20,10,1,10,9,0.9980938367387888,3199.648363040497,1580.4222634581797,0.998855398872066,0.0009771477007429752,0.9996642943467168,0.9996978649120452,0.9961542320168544,1.0,SRR11397721
MT039887.1,29903,85,74,0,13,12,0.9799351235661974,2282.527238069759,3072.399904762392,0.9983138178109308,0.0011919405169694695,0.9995508413087794,0.9995853919773348,0.9678961977059158,1.0,SRR11397728
MT039887.1,29903,11,8,2,1,1,0.9977259806708356,2769.725913787913,1410.7582953323456,0.9986071805704504,0.0012263138423239672,0.9999662025145328,0.9999662025145328,0.9894659398722536,1.0,SRR11397729
MT039887.1,29903,33,30,0,4,3,0.9898672374009296,4433.393906965855,3524.435014740962,0.9982623397509772,0.0014104744582720265,0.9998636859323882,0.9998977644492912,0.9813062234558404,1.0,SRR11397730
MT039887.1,29903,2,2,0,1,0,0.015249306089689997,0.06022807076213089,0.598589599723674,0.9927566225165564,0.0,0.9933774834437086,1.0,0.0050496605691736605,0.051791995232268295,SRR11397408
MT039887.1,29903,0,0,0,0,0,0.023442463966826067,0.137477845032271,1.087205655866954,0.9981448293114318,0.0,1.0,1.0,0.010433735745577368,0.11431412768527473,SRR11397410
MT039887.1,29903,16,8,0,11,9,0.12413470220379225,193.34361100892886,664.4379667087686,0.9954780062597248,0.004347525401988572,0.9970318402590392,0.9975715056664868,0.12393405343945425,1.0,SRR11397411
MT039887.1,29903,151,62,4,118,100,0.1433635421195198,4682.906698324583,15467.040746988609,0.990502388783755,0.008665909582733609,0.9710571498650968,0.9754721609026245,0.13634083536768887,1.0,SRR11397412
MT039887.1,29903,127,57,3,89,75,0.12724475805103164,861.6976557536032,2827.2937722892284,0.9923622605316909,0.006416622096953151,0.9762095696337878,0.9799518845228548,0.12510450456475938,1.0,SRR11397413
MT039887.1,29903,150,64,6,124,94,0.15145637561448685,6187.073002708758,19580.190185588854,0.9887862185339932,0.00876882671597412,0.9714614499424626,0.9783659378596088,0.14530314684145404,1.0,SRR11397414
MT039887.1,29903,73,48,6,47,22,0.13991907166505033,44.79283015082099,140.15271141233274,0.9920654932385372,0.007857272994111875,0.988279301745636,0.9945137157107232,0.13410025749924756,1.0,SRR11397415
MT039887.1,29903,127,58,3,94,80,0.1434973079624118,1710.633113734408,5381.558713097892,0.9912244238669684,0.0071077093682841985,0.9761663286004056,0.9797160243407708,0.1318931210915293,1.0,SRR11397416
MT039887.1,29903,122,59,3,97,74,0.1541651339330502,1430.961241347022,4510.218917852782,0.9916259376991716,0.007213358958712002,0.9776239907727796,0.9829296424452134,0.14496873223422402,1.0,SRR11397417
MT039887.1,29903,55,33,19,12,3,0.9998327926963849,30227.07296926729,7368.123662022714,0.9931954616249576,0.006362803386851025,0.9995984742019676,0.999899618550492,0.9994314951677088,1.0,SRR11393704
MT039887.1,29903,69,63,1,7,5,0.9983279269638498,1795.6437146774572,1459.6675232868888,0.9920127975702526,0.007753619523560352,0.999764942914708,0.9998321020819342,0.9958867003310704,1.0,SRR11314339
MT039887.1,29903,20,15,0,5,5,1.0,8791.246095709459,3849.883899304322,0.9981887649960396,0.0018237987966450706,0.9998327926963849,0.9998327926963849,1.0,1.0,SRR11278164
MT039887.1,29903,26,20,0,8,6,0.9981272781995116,284.61441995786373,119.9703226439352,0.9983572377799342,0.001582727504057968,0.999731065317511,0.9997982989881332,0.9947831321272114,1.0,SRR11278165
MT039887.1,29903,25,18,1,6,6,1.0,19197.572919105107,8218.135635550616,0.998274355149088,0.0017443327997739284,0.999799351235662,0.999799351235662,1.0,1.0,SRR11278166
MT039887.1,29903,24,16,2,6,6,1.0,23264.337390897235,10939.254174025158,0.9979193719103434,0.0019460701334534927,0.9997993042547498,0.9997993042547498,0.9997659097749392,1.0,SRR11278167
MT039887.1,29903,192,184,3,5,5,0.9892318496471926,80.7024378824867,61.10789125432513,0.9976924857270061,0.0023216594809299944,0.9998308467810142,0.9998308467810142,0.9884961375112864,1.0,SRR11278168
MT039887.1,29903,111,106,0,7,5,0.9791659699695684,56.40781861351704,32.7617586710668,0.9983428186405536,0.001674232736010417,0.9997605609714384,0.999828972122456,0.9776611042370332,1.0,SRR11278090
MT039887.1,29903,19,14,0,6,5,0.999799351235662,1430.5167708925526,591.3782093672174,0.9985330716963216,0.0014132535835523765,0.9997993109676556,0.999832759139713,0.999799351235662,1.0,SRR11278091
MT039887.1,29903,25,20,0,6,5,0.9936126810019059,242.3710664481825,104.38315499835043,0.9984879810816591,0.0014273599055169006,0.999797932172566,0.999831610143805,0.9929772932481692,1.0,SRR11278092
MT039887.1,29903,130,125,0,9,5,0.9935123566197372,24.447179212788008,29.814217196739573,0.9959763789029727,0.004869597832436234,0.9996921287585948,0.9998289604214416,0.977594221315587,0.9999999995783558,SRR11247075
MT039887.1,29903,28,20,0,8,8,0.9972578002207136,319.95562318162064,137.87883711956792,0.9956814348647541,0.0041600113216994075,0.9997309024857884,0.9997309024857884,0.9941811858341972,1.0,SRR11247076
MT039887.1,29903,30,24,1,6,5,1.0,3599.940507641373,1573.0571143648208,0.9957233269816675,0.003963833598275679,0.999799351235662,0.9998327926963849,1.0,1.0,SRR11247077
MT039887.1,29903,34,28,1,10,5,1.0,6083.571782095441,2812.085665832937,0.9956470529633727,0.003940478753745813,0.999665574209083,0.9998327871045416,0.999966558539277,1.0,SRR11247078
MT039887.1,29903,28,19,3,7,6,0.9984616928067418,681.3459853526402,312.7837110248412,0.9967253828582128,0.003144811139534132,0.99976554911746,0.99979904210068,0.9984616928067418,1.0,SRR11241254
MT039887.1,29903,23,17,1,8,5,0.999799351235662,683.3364879777947,262.30676695662515,0.9961037343830776,0.003649971827173082,0.9997324146235408,0.999832759139713,0.999799351235662,1.0,SRR11241255
MT039887.1,29903,23,22,1,1,0,0.9980603952780658,51015.20365849581,16355.04816862542,0.9941723950111055,0.005655666763237033,0.9999664710813077,1.0,0.9973915660636056,1.0,SRR11177792
MT039887.1,29903,66,52,12,5,4,0.9977594221315588,4586.3009397050455,3644.949459261949,0.9922766382816308,0.007213302477451,0.9998323610272916,0.9998658888218332,0.9974250075243286,1.0,SRR11140744
MT039887.1,29903,79,59,17,6,4,0.9975253319064976,3273.301140353811,2422.636663005289,0.9915004080768388,0.007938909502179127,0.999798839977202,0.9998658933181346,0.9974584489850516,1.0,SRR11140746
MT039887.1,29903,109,78,27,7,5,0.9976590977493895,3951.862288064743,2609.599784073584,0.990179422846314,0.009516037755421536,0.9997653447755691,0.9998323891254064,0.9975922148279436,1.0,SRR11140748
MT039887.1,29903,153,147,3,4,3,0.9973581246028826,124.30568839246898,108.26253121338628,0.9911842426852564,0.007307273986080443,0.9998654467169,0.9998990850376748,0.9941477443734742,1.0,SRR11140750
MT039887.1,29903,0,0,0,0,0,0.39644851687121696,0.5128916831087182,0.7420735712655261,1.0,0.0,1.0,1.0,0.0015383071932582016,0.3642077094603251,SRR11092056
MT039887.1,29903,12,12,0,1,0,0.9975587733672208,11.901682105474368,6.2633329554960895,0.9979952633332896,0.0,0.9999633994583119,1.0,0.9136875898739256,0.9999727153231018,SRR11092057
MT039887.1,29903,0,0,0,0,0,0.7145102498077116,1.4127679497040433,1.3306383586538522,0.9973198538928321,0.0,1.0,1.0,0.026485636892619468,0.7127706058104812,SRR11092058
MT039887.1,29903,164,161,2,3,1,0.9978597465137278,17.779754539678297,8.919380269586162,0.9967281505570148,0.0,0.9998946629213484,0.9999648876404494,0.9524128013911648,0.9999998480209658,SRR11092059
MT039887.1,29903,13,13,0,1,0,0.9720429388355684,8.563187640036118,6.749635650292754,0.9976250987751905,0.0,0.9999496779388084,1.0,0.664548707487543,0.9994797986897196,SRR11092060
MT039887.1,29903,0,0,0,0,0,0.5745242952212153,1.015316189011136,1.2095024613067402,0.9979091591730314,0.0,1.0,1.0,0.0197973447480186,0.5920147245843849,SRR11092061
MT039887.1,29903,47,43,4,0,0,0.9985285757281878,110.23806975888706,74.49075800956426,0.9968154125667348,0.002962964444591987,1.0,1.0,0.9982944855031268,1.0,SRR11092062
MT039887.1,29903,7,6,1,0,0,0.9361268100190616,8.884526636123466,8.114001193338561,0.9980493851574828,0.0,1.0,1.0,0.6469919406079657,0.9996083088924308,SRR11092063
MT039887.1,29903,11,11,0,0,0,0.83971507875464,2.608433936394342,2.116733073827902,0.9984420271299302,0.0,1.0,1.0,0.17185566665551952,0.9000661853720294,SRR11092064
MT039887.1,29903,102,102,0,1,0,0.9845166036852492,13.941243353509682,11.23360519673981,0.9901077736330502,0.010285399505257977,0.9999583801556582,1.0,0.8034979767916263,0.9999954940773456,SRR11059940
MT039887.1,29903,0,0,0,0,0,0.49563588937564795,0.8822526167943016,1.2062275212764513,0.9914408641426188,0.0,1.0,1.0,0.012707755074741664,0.541148688105712,SRR11059941
MT039887.1,29903,1329,1191,109,163,51,0.8672039594689496,275.42785004849014,529.7120761254808,0.9718748970793148,0.02309613490762308,0.993397334629562,0.9979341353748936,0.8255693408688092,1.0,SRR11059942
MT039887.1,29903,396,320,25,91,61,0.2990669832458282,16.006420760458816,65.12720255031195,0.9725373112873312,0.027358000814914685,0.9873347251217814,0.9915100904662492,0.2402768952947865,0.999999272512872,SRR11059943
MT039887.1,29903,103,96,7,1,0,0.999966558539277,2033.2517473163227,1940.0864763700454,0.9914075606624808,0.008287276173598035,0.9999665238350296,1.0,0.9989633147175868,1.0,SRR11059944
MT039887.1,29903,528,462,45,134,30,0.8935892719794001,234.81904825602783,720.6398283192427,0.9830490097144716,0.016710883848155108,0.9916281394477072,0.9981257028614271,0.5352640203324082,1.0,SRR11059945
MT039887.1,29903,697,640,57,22,1,1.0,11047.666254221986,11727.381106895344,0.9842288322111152,0.015052289009923612,0.999264287864094,0.999966558539277,1.0,1.0,SRR11059946
MT039887.1,29903,113,98,15,0,0,1.0,66454.4135371033,21637.48737591827,0.9892477847933988,0.010442272720668002,1.0,1.0,1.0,1.0,SRR11059947
