genome,true_length,SNPs,BiAllelic_SNPs,MultiAllelic_SNPs,consensus_SNPs,population_SNPs,breadth,coverage,std_cov,mean_clonality,conANI,popANI,unmaskedBreadth,expected_breadth,Run
MT039887.1,29879,25,19,0,9,6,0.9995314434887379,683.3351183105191,262.4820155928165,0.9961208257227732,0.9996986035296876,0.9997990690197917,0.9993975701998059,1.0,SRR11241255
MT039887.1,29879,38,29,3,11,6,0.999732253422136,6086.544797349309,2807.868941188236,0.9956354596837308,0.9996317128699612,0.999799116110888,0.999631848455437,1.0,SRR11247078
MT039887.1,29879,36,30,0,7,6,0.999899595033301,3601.645168847685,1571.2230278807715,0.9957012708148874,0.9997656746895188,0.9997991497338734,0.999799190066602,1.0,SRR11247077
MT039887.1,29879,33,24,0,9,9,0.9971886609324274,319.9779109073262,137.95113747230906,0.9956901712277734,0.9996969084663568,0.9996969084663568,0.9938083603868938,1.0,SRR11247076
MT039887.1,29879,142,136,0,9,6,0.9929716523310688,23.56243515512568,11.497833853091668,0.9960274100160728,0.9996917069160416,0.9997944712773609,0.9770407309481576,0.9999999990790636,SRR11247075
MT039887.1,29879,0,0,0,0,0,0.7149837678637171,1.4138023360888918,1.3306388250033931,0.9973198538928321,1.0,1.0,0.02650691120854112,0.7130328307911714,SRR11092058
MT039887.1,29879,8,6,1,1,1,0.9367783393018508,8.891428762676126,8.113575533154124,0.9980493851574828,0.9999483123998552,0.9999483123998552,0.6475116302419761,0.9996106888246308,SRR11092063
MT039887.1,29879,13,12,0,2,1,0.9982596472438836,11.911074667826902,6.2570599381280365,0.9979952633332896,0.9999267989166241,0.9999633994583119,0.9144215000502024,0.9999729406763961,SRR11092057
MT039887.1,29879,58,53,4,1,1,0.9992302285886407,110.29592690518423,74.44800660022194,0.9968226433265563,0.9999664980401354,0.9999664980401354,0.9989959503330098,1.0,SRR11092062
MT039887.1,29879,0,0,0,0,0,0.574985775963051,1.0161317313163092,1.2096456348243665,0.9979091591730314,1.0,1.0,0.019813246761939823,0.5923084187531108,SRR11092061
MT039887.1,29879,14,13,0,2,1,0.9727233173800998,8.56551424077111,6.742373760898111,0.9976244417623572,0.9998993558776168,0.9999496779388084,0.6650824994143043,0.999480866288276,SRR11092060
MT039887.1,29879,0,0,0,0,0,0.39666655510559257,0.5132032531209211,0.7422308946110712,1.0,1.0,1.0,0.0015395428227182972,0.3643826022370439,SRR11092056
MT039887.1,29879,175,170,3,4,2,0.9985608621439808,17.79293149034439,8.910846673073808,0.9966954508118112,0.9998595357657056,0.9999297678828528,0.9530774122293248,0.999999849779032,SRR11092059
MT039887.1,29879,11,11,0,0,0,0.8402891663040932,2.610395260885572,2.116582795311248,0.9984420271299302,1.0,1.0,0.17199370795542018,0.9002391059220936,SRR11092064
MT039887.1,29879,103,96,6,1,1,1.0,66458.5247498243,21596.107198986592,0.9895244367065836,0.9999665316777671,0.9999665316777671,1.0,1.0,SRR11059947
MT039887.1,29879,703,652,50,22,2,1.0,11047.859499983266,11725.999134961405,0.984465836111156,0.999263696910874,0.9999330633555341,1.0,1.0,SRR11059946
MT039887.1,29879,542,475,45,135,31,0.8937046085879715,234.9763378961813,720.9070032038428,0.9830630384091962,0.9915551107218816,0.9980608032028024,0.5350245992168413,1.0,SRR11059945
MT039887.1,29879,103,97,5,2,1,0.9999665316777672,2034.097192007765,1940.1382784830075,0.9915510112547312,0.9999330095461396,0.9999665047730698,0.9991967602664078,1.0,SRR11059944
MT039887.1,29879,428,352,25,91,61,0.2939188058502627,16.00425047692359,65.155130926531,0.9725373112873312,0.9873347251217814,0.9915100904662492,0.2404698952441514,0.9999992711174078,SRR11059943
MT039887.1,29879,1422,1285,107,161,52,0.8670972924127314,275.17627765320117,529.8097680543783,0.9721893193191168,0.9934722672721376,0.9978916639636718,0.8254626995548713,1.0,SRR11059942
MT039887.1,29879,0,0,0,0,0,0.4960340038153888,0.8829612771511764,1.2064525747250352,0.9914408641426188,1.0,1.0,0.012717962448542454,0.5414357231661786,SRR11059941
MT039887.1,29879,117,116,0,2,1,0.9849057866729141,13.932226647478164,11.224876389529241,0.9901150493347416,0.9999165971643036,0.9999582985821518,0.8025703671474949,0.9999954580591156,SRR11059940
MT039887.1,29879,174,171,3,1,0,0.9980588373104856,124.42183473342482,108.23894758630793,0.9911818627974284,0.9999663582842724,1.0,0.994845878376117,1.0,SRR11140750
MT039887.1,29879,109,80,27,4,2,0.9983600522105828,3955.520365474079,2608.056652164381,0.9901825166810082,0.9998658978141344,0.9999329489070672,0.9982931155661168,1.0,SRR11140748
MT039887.1,29879,81,63,17,3,1,0.9982261789216508,3276.170219886877,2421.7391626505623,0.9915030082445913,0.9998994098712446,0.9999664699570816,0.9981592422771848,1.0,SRR11140746
MT039887.1,29879,68,56,12,2,1,0.9984269888550488,4590.112989055859,3644.020876258755,0.9922784519442186,0.99993293766556,0.99996646883278,0.9981257739549516,1.0,SRR11140744
